MR,18,5.99484062195,0.00,CHALLENGE,CHALLENGING,REFUSED
MR,18,24.9951820374,0.01,MAINTAIN,POSITIVE,UNPROMPTED
MR,18,43.994884491,0.02,MAINTAIN,POSITIVE,REFUSED
MR,18,68.9948577881,0.04,PRAISE,POSITIVE,UNPROMPTED
MR,18,78.9951629639,0.04,MAINTAIN,POSITIVE,VALIDATED
MR,18,113.994926453,0.06,PRAISE,POSITIVE,REFUSED
MR,18,121.994529724,0.07,SYMPATHISE,SYMPATHETIC,UNPROMPTED
MR,18,148.994247437,0.08,PRAISE,POSITIVE,VALIDATED
MR,18,157.99432373,0.09,SPEEDDOWN,SYMPATHETIC,UNPROMPTED
MR,18,181.994888306,0.10,PRAISE,POSITIVE,REFUSED
MR,18,184.994232178,0.10,CHALLENGE,SYMPATHETIC,UNPROMPTED
MR,18,220.995193481,0.12,CHALLENGE,SYMPATHETIC,VALIDATED
MR,18,254.995147705,0.14,SPEEDDOWN,SYMPATHETIC,REFUSED
MR,18,269.995178223,0.15,PRAISE,SYMPATHETIC,UNPROMPTED
MR,18,277.994812012,0.16,PRAISE,POSITIVE,UNPROMPTED
MR,18,279.994842529,0.16,CHALLENGE,SYMPATHETIC,UNPROMPTED
MR,18,286.99520874,0.16,CHALLENGE,SYMPATHETIC,REFUSED
MR,18,321.995147705,0.18,SYMPATHISE,SYMPATHETIC,REFUSED
MR,18,344.995178223,0.19,PRAISE,SYMPATHETIC,UNPROMPTED
MR,18,355.994842529,0.20,PRAISE,SYMPATHETIC,REFUSED
MR,18,389.994873047,0.22,PRAISE,SYMPATHETIC,VALIDATED
MR,18,417.995178223,0.23,SPEEDDOWN,SYMPATHETIC,UNPROMPTED
MR,18,422.994232178,0.24,SPEEDDOWN,SYMPATHETIC,REFUSED
MR,18,449.994903564,0.25,PRAISE,POSITIVE,UNPROMPTED
MR,18,454.994812012,0.25,PRAISE,POSITIVE,REFUSED
MR,18,492.994598389,0.27,PRAISE,POSITIVE,REFUSED
MR,18,500.994842529,0.28,MAINTAIN,POSITIVE,UNPROMPTED
MR,18,530.995117188,0.30,PRAISE,POSITIVE,UNPROMPTED
MR,18,531.994934082,0.30,MAINTAIN,POSITIVE,VALIDATED
MR,18,565.994812012,0.32,PRAISE,POSITIVE,REFUSED
MR,18,589.994873047,0.33,PRAISE,SYMPATHETIC,UNPROMPTED
MR,18,596.99420166,0.33,PRAISE,POSITIVE,REFUSED
MR,18,599.994873047,0.33,CHECKPRE,SYMPATHETIC,UNPROMPTED
MR,18,634.99420166,0.35,MAINTAIN,POSITIVE,REFUSED
MR,18,645.994262695,0.36,PRAISE,POSITIVE,UNPROMPTED
MR,18,657.995239258,0.37,SPEEDDOWN,SYMPATHETIC,UNPROMPTED
MR,18,674.995178223,0.38,PRAISE,POSITIVE,VALIDATED
MR,18,710.994934082,0.40,PRAISE,POSITIVE,REFUSED
MR,18,720.99420166,0.40,CHALLENGE,SYMPATHETIC,UNPROMPTED
MR,18,744.995117188,0.42,CHECKPRE,SYMPATHETIC,REFUSED
MR,18,749.995178223,0.42,CHALLENGE,SYMPATHETIC,UNPROMPTED
MR,18,777.994873047,0.43,CHALLENGE,SYMPATHETIC,REFUSED
MR,18,800.994812012,0.45,PRAISE,POSITIVE,UNPROMPTED
MR,18,804.995178223,0.45,CHALLENGE,CHALLENGING,UNPROMPTED
MR,18,809.994812012,0.45,CHALLENGE,CHALLENGING,REFUSED
MR,18,832.994262695,0.46,PRAISE,POSITIVE,UNPROMPTED
MR,18,841.994812012,0.47,PRAISE,POSITIVE,REFUSED
MR,18,870.99420166,0.49,PRAISE,POSITIVE,UNPROMPTED
MR,18,873.995056152,0.49,PRAISE,POSITIVE,REFUSED
MR,18,913.994812012,0.51,PRAISE,POSITIVE,PASSIVE_ACCEPTED
MR,18,913.994812012,0.51,PRAISE,POSITIVE,UNPROMPTED
MR,18,929.994812012,0.52,TIME,POSITIVE,UNPROMPTED
MR,18,953.99420166,0.53,TIME,POSITIVE,VALIDATED
MR,18,988.995239258,0.55,TIME,POSITIVE,REFUSED
MR,18,1020.99517822,0.57,PRAISE,POSITIVE,REFUSED
MR,18,1024.99511719,0.57,CHALLENGE,CHALLENGING,UNPROMPTED
MR,18,1039.9942627,0.58,CHALLENGE,CHALLENGING,UNPROMPTED
MR,18,1051.9942627,0.59,CHALLENGE,CHALLENGING,REFUSED
MR,18,1083.99511719,0.60,CHALLENGE,CHALLENGING,REFUSED
MR,18,1112.99487305,0.62,PRAISE,SYMPATHETIC,UNPROMPTED
MR,18,1115.9942627,0.62,PRAISE,SYMPATHETIC,REFUSED
MR,18,1148.99450684,0.64,PRAISE,SYMPATHETIC,REFUSED
MR,18,1160.99487305,0.65,CHALLENGE,SYMPATHETIC,UNPROMPTED
MR,18,1188.99487305,0.66,PRAISE,SYMPATHETIC,PASSIVE_ACCEPTED
MR,18,1215.99511719,0.68,MAINTAIN,POSITIVE,UNPROMPTED
MR,18,1220.99487305,0.68,PRAISE,SYMPATHETIC,REFUSED
MR,18,1224.99511719,0.68,PRAISE,POSITIVE,UNPROMPTED
MR,18,1258.9942627,0.70,MAINTAIN,POSITIVE,REFUSED
MR,18,1296.9942627,0.72,PRAISE,POSITIVE,VALIDATED
MR,18,1321.9942627,0.74,PRAISE,SYMPATHETIC,UNPROMPTED
MR,18,1323.99414062,0.74,TIME,SYMPATHETIC,UNPROMPTED
MR,18,1332.99450684,0.74,TIME,SYMPATHETIC,REFUSED
MR,18,1344.9942627,0.75,TIME,CHALLENGING,UNPROMPTED
MR,18,1371.99511719,0.77,TIME,CHALLENGING,VALIDATED
MR,18,1407.99414062,0.79,CHALLENGE,CHALLENGING,UNPROMPTED
MR,18,1410.99511719,0.79,TIME,CHALLENGING,VALIDATED
MR,18,1428.99475098,0.80,TIME,SYMPATHETIC,UNPROMPTED
MR,18,1429.99462891,0.80,PRAISE,POSITIVE,UNPROMPTED
MR,18,1441.99487305,0.80,PRAISE,POSITIVE,REFUSED
MR,18,1459.99414062,0.81,TIME,CHALLENGING,UNPROMPTED
MR,18,1480.99511719,0.83,TIME,CHALLENGING,VALIDATED
MR,18,1497.9942627,0.84,WALK,POSITIVE,PASSIVE_ACCEPTED
MR,18,1535.9942627,0.86,CHECKPRE,SYMPATHETIC,VALIDATED
MR,18,1546.9942627,0.86,PRAISE,SYMPATHETIC,UNPROMPTED
MR,18,1570.9942627,0.88,CHECKPRE,SYMPATHETIC,REFUSED
MR,18,1587.99438477,0.89,PRAISE,SYMPATHETIC,UNPROMPTED
MR,18,1596.99499512,0.89,ANIMATION,POSITIVE,UNPROMPTED
MR,18,1609.9942627,0.90,ANIMATION,POSITIVE,VALIDATED
MR,18,1649.99475098,0.92,ANIMATION,POSITIVE,PASSIVE_ACCEPTED
MR,18,1684.99414062,0.94,ANIMATION,POSITIVE,REFUSED
MR,18,1720.99475098,0.96,ANIMATION,POSITIVE,REFUSED
MR,18,1721.9942627,0.96,SYMPATHISE,SYMPATHETIC,UNPROMPTED
MR,18,1753.99487305,0.98,CHALLENGE,SYMPATHETIC,REFUSED
MR,18,1792.99511719,1.00,SYMPATHISE,SYMPATHETIC,REFUSED
